"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1",33,"KA Satriadi, B Ens, M Cordeil, T Czauderna…","Maps around me: 3d multiview layouts in immersive spaces",2020,"Proceedings of the ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3427329","https://scholar.google.com/scholar?cites=10073413213364218916&as_sdt=2005&sciodt=0,5&hl=en",190,"2023-02-22 14:50:27","","10.1145/3427329",NA,NA,NA,NA,NA,NA,33,11,7,5,3,"Visual exploration of maps often requires a contextual understanding at multiple scales and locations. Multiview map layouts, which present a hierarchy of multiple views to reveal detail …","https://dl.acm.org/doi/pdf/10.1145/3427329","https://scholar.google.com/scholar?q=related:JOxMQvLzy4sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"2",25,"W Yang, X Wang, J Lu, W Dou…","Interactive steering of hierarchical clustering",2020,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9094378/","https://scholar.google.com/scholar?cites=9703887164979817030&as_sdt=2005&sciodt=0,5&hl=en",281,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,25,8.33,5,5,3,"Hierarchical clustering is an important technique to organize big data for exploratory data analysis. However, existing one-size-fits-all hierarchical clustering methods often fail to meet …","https://ieeexplore.ieee.org/iel7/2945/9526678/09094378.pdf","https://scholar.google.com/scholar?q=related:RioYkfYhq4YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"3",22,"K Klamka, T Horak, R Dachselt","Watch+ strap: Extending smartwatches with interactive strapdisplays",2020,"… of the 2020 CHI Conference on Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3313831.3376199","https://scholar.google.com/scholar?cites=18162996232119475652&as_sdt=2005&sciodt=0,5&hl=en",676,"2023-02-22 14:50:27","","10.1145/3313831.3376199",NA,NA,NA,NA,NA,NA,22,7.33,7,3,3,"While smartwatches are widely adopted these days, their input and output space remains fairly limited by their screen size. We present StrapDisplays-interactive watchbands with …","https://dl.acm.org/doi/pdf/10.1145/3313831.3376199","https://scholar.google.com/scholar?q=related:xF09aNfsD_wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"4",20,"T Horak, P Berger, H Schumann…","Responsive matrix cells: A focus+ context approach for exploring and editing multivariate graphs",2020,"… on Visualization and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9226461/","https://scholar.google.com/scholar?cites=3577821638464768051&as_sdt=2005&sciodt=0,5&hl=en",308,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,20,6.67,5,4,3,"Matrix visualizations are a useful tool to provide a general overview of a graph's structure. For multivariate graphs, a remaining challenge is to cope with the attributes that are …","https://ieeexplore.ieee.org/iel7/2945/9340023/09226461.pdf","https://scholar.google.com/scholar?q=related:Mwhm9tL5pjEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"5",6,"N Rachatasumrit, J Bragg, AX Zhang…","CiteRead: Integrating Localized Citation Contexts into Scientific Paper Reading",2022,"… Conference on Intelligent …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3490099.3511162","https://scholar.google.com/scholar?cites=8867845729752278995&as_sdt=2005&sciodt=0,5&hl=en",402,"2023-02-22 14:50:27","","10.1145/3490099.3511162",NA,NA,NA,NA,NA,NA,6,6,2,4,1,"When reading a scholarly paper, scientists oftentimes wish to understand how follow-on work has built on or engages with what they are reading. While a paper itself can only …","https://dl.acm.org/doi/fullHtml/10.1145/3490099.3511162","https://scholar.google.com/scholar?q=related:02fZFLXqEHsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"6",5,"D Englmeier, W Sajko, A Butz","Spherical world in miniature: Exploring the tiny planets metaphor for discrete locomotion in virtual reality",2021,"2021 IEEE Virtual Reality and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9417634/","https://scholar.google.com/scholar?cites=11197656301618482675&as_sdt=2005&sciodt=0,5&hl=en",658,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,5,2.5,2,3,2,"We explore the concept of a Spherical World in Miniature (SWIM) for discrete locomotion in Virtual Reality (VR). A SWIM wraps a planar WIM around a physically embodied sphere and …","http://www.medien.ifi.lmu.de/pubdb/publications/pub/englmeier2021vr/englmeier2021vr.pdf","https://scholar.google.com/scholar?q=related:803iHhQRZpsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"7",4,"K Orphanou, J Otterbacher, S Kleanthous…","Mitigating Bias in Algorithmic Systems—A Fish-eye View",2022,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3527152","https://scholar.google.com/scholar?cites=6536285434293059346&as_sdt=2005&sciodt=0,5&hl=en",18,"2023-02-22 14:54:27","","10.1145/3527152",NA,NA,NA,NA,NA,NA,4,4,1,4,1,"Mitigating bias in algorithmic systems is a critical issue drawing attention across communities within the information and computer sciences. Given the complexity of the …","https://dl.acm.org/doi/full/10.1145/3527152","https://scholar.google.com/scholar?q=related:Ev-YxfiMtVoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"8",3,"M Lu, N Fish, S Wang, J Lanir…","Enhancing static charts with data-driven animations",2020,"… on Visualization and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9257096/","https://scholar.google.com/scholar?cites=8819866202930033780&as_sdt=2005&sciodt=0,5&hl=en",807,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,3,1,1,5,3,"Static visual attributes such as color and shape are used with great success in visual charts designed to be displayed in static, hard-copy form. However, nowadays digital displays …","https://ieeexplore.ieee.org/iel7/2945/4359476/09257096.pdf","https://scholar.google.com/scholar?q=related:dDQe-JR1ZnoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"9",3,"M Palash, V Popescu, A Sheoran…","Robust 360° Video Streaming via Non-Linear Sampling",2021,"IEEE INFOCOM 2021 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9488700/","https://scholar.google.com/scholar?cites=10936553514442085075&as_sdt=2005&sciodt=0,5&hl=en",757,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,3,1.5,1,4,2,"We propose CoRE, a 360° video streaming approach that reduces bandwidth requirements compared to transferring the entire 360° video. CoRE uses non-linear sampling in both the …","https://ieeexplore.ieee.org/iel7/9488422/9488423/09488700.pdf","https://scholar.google.com/scholar?q=related:09JeH3pxxpcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"10",2,"J Reibert, P Riehmann, B Froehlich","Multitouch Interaction with Parallel Coordinates on Large Vertical Displays",2020,"Proceedings of the ACM on Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3427327","https://scholar.google.com/scholar?cites=13397473057674376104&as_sdt=2005&sciodt=0,5&hl=en",931,"2023-02-22 14:50:27","","10.1145/3427327",NA,NA,NA,NA,NA,NA,2,0.67,1,3,3,"This paper presents a multitouch vocabulary for interacting with parallel coordinates plots on wall-sized displays. The gesture set relies on principles such as two-finger range definition …","https://dl.acm.org/doi/pdf/10.1145/3427327","https://scholar.google.com/scholar?q=related:qDOMWsNi7bkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
