"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1",7612,"B Shneiderman","The eyes have it: A task by data type taxonomy for information visualizations",1996,"Proceedings 1996 IEEE symposium on visual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/545307/","https://scholar.google.com/scholar?cites=14286904839098613246&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,7612,281.93,7612,1,27,"A useful starting point for designing advanced graphical user interfaces is the visual information seeking Mantra: overview first, zoom and filter, then details on demand. But this …","https://ieeexplore.ieee.org/iel3/3922/11360/00545307.pdf","https://scholar.google.com/scholar?q=related:_j1IgkFIRcYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"2",2645,"DA Keim","Information visualization and visual data mining",2002,"IEEE transactions on Visualization and Computer …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/981847/","https://scholar.google.com/scholar?cites=1366297222210047031&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,2645,125.95,2645,1,21,"Never before in history has data been generated at such high volumes as it is today. Exploring and analyzing the vast volumes of data is becoming increasingly difficult …","https://ieeexplore.ieee.org/iel5/2945/21152/00981847.pdf","https://scholar.google.com/scholar?q=related:N8xuqxUQ9hIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"3",2374,"I Herman, G Melançon…","Graph visualization and navigation in information visualization: A survey",2000,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/841119/","https://scholar.google.com/scholar?cites=7623678239034234472&as_sdt=2005&sciodt=0,5&hl=en",13,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,2374,103.22,791,3,23,"This is a survey on graph visualization and navigation techniques, as used in information visualization. Graphs appear in numerous applications such as Web browsing, state …","https://ieeexplore.ieee.org/iel5/2945/18188/00841119.pdf","https://scholar.google.com/scholar?q=related:aNaCZ_e-zGkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"4",2095,"GG Robertson, JD Mackinlay, SK Card","Cone trees: animated 3D visualizations of hierarchical information",1991,"Proceedings of the SIGCHI …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/108844.108883","https://scholar.google.com/scholar?cites=15989746828471022710&as_sdt=2005&sciodt=0,5&hl=en",21,"2023-02-22 14:50:27","PDF","10.1145/108844.108883",NA,NA,NA,NA,NA,NA,2095,65.47,698,3,32,"The task of managing and accessing large information spaces is a problem in large scale cognition. Enwrging technologies for 3D visualization and interactive aninlaiion offer …","https://dl.acm.org/doi/pdf/10.1145/108844.108883","https://scholar.google.com/scholar?q=related:drRx7wX-5t0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"5",1664,"FG Halasz","Reflections on NoteCards: Seven issues for the next generation of hypermedia systems",1988,"Communications of the ACM","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/48511.48514","https://scholar.google.com/scholar?cites=3604081633172322233&as_sdt=2005&sciodt=0,5&hl=en",61,"2023-02-22 14:50:27","","10.1145/48511.48514",NA,NA,NA,NA,NA,NA,1664,47.54,1664,1,35,"NoteCards, developed by a team at Xerox PARC, was designed to support the task of transforming a chaotic collection of unrelated thoughts into an integrated, orderly …","https://dl.acm.org/doi/pdf/10.1145/48511.48514","https://scholar.google.com/scholar?q=related:ufe-biZFBDIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"6",1587,"J Lamping, R Rao, P Pirolli","A focus+ context technique based on hyperbolic geometry for visualizing large hierarchies",1995,"Proceedings of the SIGCHI conference on …","dl.acm.org","https://dl.acm.org/doi/fullHtml/10.1145/223904.223956","https://scholar.google.com/scholar?cites=9062746471505092160&as_sdt=2005&sciodt=0,5&hl=en",29,"2023-02-22 14:50:27","HTML","10.1145/223904.223956",NA,NA,NA,NA,NA,NA,1587,56.68,529,3,28,"We present a new focus+ context (fisheye) technique for visualizing and manipulating large hierarchies. Our technique assigns more display space to a portion of the hierarchy while …","https://dl.acm.org/doi/fullHtml/10.1145/223904.223956","https://scholar.google.com/scholar?q=related:QF58O-ZXxX0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"7",1279,"JD Mackinlay, GG Robertson, SK Card","The perspective wall: Detail and context smoothly integrated",1991,"Proceedings of the SIGCHI …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/108844.108870","https://scholar.google.com/scholar?cites=12117730789054186809&as_sdt=2005&sciodt=0,5&hl=en",49,"2023-02-22 14:50:27","PDF","10.1145/108844.108870",NA,NA,NA,NA,NA,NA,1279,39.97,426,3,32,"Tasks that involve large information spaces overwhelm workspaces that do not support efiicient use of space and time. For example, case studies indicate that information often …","https://dl.acm.org/doi/pdf/10.1145/108844.108870","https://scholar.google.com/scholar?q=related:OYVjPfPTKqgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"8",1200,"R Rao, SK Card","The table lens: merging graphical and symbolic representations in an interactive focus+ context visualization for tabular information",1994,"Proceedings of the SIGCHI conference on Human …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/191666.191776","https://scholar.google.com/scholar?cites=6324611127701697912&as_sdt=2005&sciodt=0,5&hl=en",36,"2023-02-22 14:50:27","PDF","10.1145/191666.191776",NA,NA,NA,NA,NA,NA,1200,41.38,600,2,29,"We present a new visualization, called the Table Lens, for visualizing and making sense of large tables. The visualization uses a focus+ ccmtext (fisheye) technique that works …","https://dl.acm.org/doi/pdf/10.1145/191666.191776","https://scholar.google.com/scholar?q=related:eHUkuU-IxVcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"9",1156,"JS Yi, Y ah Kang, J Stasko…","Toward a deeper understanding of the role of interaction in information visualization",2007,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4376144/","https://scholar.google.com/scholar?cites=15366500590983790455&as_sdt=2005&sciodt=0,5&hl=en",25,"2023-02-22 14:50:27","","",NA,NA,NA,NA,NA,NA,1156,72.25,289,4,16,"Even though interaction is an important part of information visualization (Infovis), it has garnered a relatively low level of attention from the Infovis community. A few frameworks and …","https://ieeexplore.ieee.org/iel5/2945/4376125/04376144.pdf","https://scholar.google.com/scholar?q=related:dz9rTt_GQNUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"10",1108,"SK Card, GG Robertson, JD Mackinlay","The information visualizer, an information workspace",1991,"Proceedings of the SIGCHI …","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/108844.108874","https://scholar.google.com/scholar?cites=12987937771785470939&as_sdt=2005&sciodt=0,5&hl=en",33,"2023-02-22 14:50:27","PDF","10.1145/108844.108874",NA,NA,NA,NA,NA,NA,1108,34.63,369,3,32,"This paper proposes a concept for the user interface of information retrieval systems called an information workspace. The concept goes beyond the usual notion of an information …","https://dl.acm.org/doi/pdf/10.1145/108844.108874","https://scholar.google.com/scholar?q=related:28MmJJdsPrQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"11",988,"GG Robertson, SK Card, JD Mackinlay","Information visualization using 3D interactive animation",1993,"Communications of the ACM","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/255950.153577","https://scholar.google.com/scholar?cites=14089545342519548443&as_sdt=2005&sciodt=0,5&hl=en",76,"2023-02-22 14:50:27","PDF","10.1145/255950.153577",NA,NA,NA,NA,NA,NA,988,32.93,329,3,30,"We take four broad strategies: making the usel:'S immediate workspace larger, enabfing user interaction with multiple agents, increasing the realtime interaction rate between user …","https://dl.acm.org/doi/pdf/10.1145/255950.153577","https://scholar.google.com/scholar?q=related:Gxqj49YeiMMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"12",976,"BB Bederson, JD Hollan","Pad++ a zooming graphical interface for exploring alternate interface physics",1994,"Proceedings of the 7th annual ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/192426.192435","https://scholar.google.com/scholar?cites=6976005310780086394&as_sdt=2005&sciodt=0,5&hl=en",71,"2023-02-22 14:50:27","","10.1145/192426.192435",NA,NA,NA,NA,NA,NA,976,33.66,488,2,29,"We describe the current status of Pad++, a zooming graphical interface that we are exploring as an alternative to traditional window and icon-based approaches to interface design. We …","https://dl.acm.org/doi/pdf/10.1145/192426.192435","https://scholar.google.com/scholar?q=related:ehhJpN6_z2AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"13",903,"M Sarkar, MH Brown","Graphical fisheye views of graphs",1992,"Proceedings of the SIGCHI conference on Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/142750.142763","https://scholar.google.com/scholar?cites=16957126276968900701&as_sdt=2005&sciodt=0,5&hl=en",63,"2023-02-22 14:50:27","","10.1145/142750.142763",NA,NA,NA,NA,NA,NA,903,29.13,452,2,31,"A fisheye lens is a very wide angle lens that shows places nearby in detail while also showing remote regions in successively less detail. This paper describes a system for …","https://dl.acm.org/doi/pdf/10.1145/142750.142763","https://scholar.google.com/scholar?q=related:XWgsloHQU-sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"14",879,"YK Leung, MD Apperley","A review and taxonomy of distortion-oriented presentation techniques",1994,"ACM Transactions on Computer-Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/180171.180173","https://scholar.google.com/scholar?cites=5314100744574504690&as_sdt=2005&sciodt=0,5&hl=en",84,"2023-02-22 14:50:27","","10.1145/180171.180173",NA,NA,NA,NA,NA,NA,879,30.31,440,2,29,"One of the common problems associated with large computer-based information systems is the relatively small window through which an information space can be viewed. Increasing …","https://dl.acm.org/doi/pdf/10.1145/180171.180173","https://scholar.google.com/scholar?q=related:8o4AzXh6v0kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"15",857,"A Cockburn, A Karlson, BB Bederson","A review of overview+ detail, zooming, and focus+ context interfaces",2009,"ACM Computing Surveys (CSUR)","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1456650.1456652","https://scholar.google.com/scholar?cites=5159720600205998443&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-02-22 14:54:27","","10.1145/1456650.1456652",NA,NA,NA,NA,NA,NA,857,61.21,286,3,14,"There are many interface schemes that allow users to work at, and move between, focused and contextual views of a dataset. We review and categorize these schemes according to …","https://dl.acm.org/doi/pdf/10.1145/1456650.1456652","https://scholar.google.com/scholar?q=related:azmLa4wCm0cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"16",857,"A Cockburn, A Karlson, BB Bederson","A review of overview+ detail, zooming, and focus+ context interfaces",2009,"ACM Computing Surveys (CSUR)","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1456650.1456652","https://scholar.google.com/scholar?cites=5159720600205998443&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-02-22 14:50:27","","10.1145/1456650.1456652",NA,NA,NA,NA,NA,NA,857,61.21,286,3,14,"There are many interface schemes that allow users to work at, and move between, focused and contextual views of a dataset. We review and categorize these schemes according to …","https://dl.acm.org/doi/pdf/10.1145/1456650.1456652","https://scholar.google.com/scholar?q=related:azmLa4wCm0cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"17",853,"J Nielsen","The art of navigating through hypertext",1990,"Communications of the ACM","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/77481.77483","https://scholar.google.com/scholar?cites=10794064436320043672&as_sdt=2005&sciodt=0,5&hl=en",122,"2023-02-22 14:50:27","","10.1145/77481.77483",NA,NA,NA,NA,NA,NA,853,25.85,853,1,33,"Hypertext (3),(19),(25) is becoming a popular approach to many computer applications, especially those dealing with the on-line presentation of large amounts of loosely structured …","https://dl.acm.org/doi/pdf/10.1145/77481.77483","https://scholar.google.com/scholar?q=related:mIKIWWo4zJUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
