"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1",0,"S Ghodousi","3D Visualization of Cerebral Aneurysms",NA,"","","","",162,"2023-02-22 14:54:27","CITATION","",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"","","https://scholar.google.com/scholar?q=related:TFaKZwUNGbMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"2",0,"JW Bae, SW Lee, IS Kim…","A Research for New Taxonomy of Information Visualization",2009,"Journal of the Society of …","koreascience.or.kr","https://www.koreascience.or.kr/article/JAKO200923160549942.page","",135,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,0,0,0,4,14,"Since too much information has been generated, it became very difficult to find out valuable and necessary information. In order to deal with the problem of information overload, the …","https://www.koreascience.or.kr/article/JAKO200923160549942.pdf","https://scholar.google.com/scholar?q=related:GSIZn7fHLv0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"3",0,"AM Canvas","A SCIENCE OF INTERACTION",NA,"scitepress.org","","https://www.scitepress.org/Papers/2008/10996/10996.pdf","",110,"2023-02-22 14:54:27","PDF","",NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"A recently proposed search for a science of interaction will involve the creation of a multidimensional canvas composed of many features: complex perceptual and cognitive …","https://www.scitepress.org/Papers/2008/10996/10996.pdf","https://scholar.google.com/scholar?q=related:FaQE7VN6qxwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"4",0,"R Spence","A SCIENCE OF INTERACTION-A Multidimensional Canvas",2008,"… Conference on Computer Graphics Theory and …","scitepress.org","https://www.scitepress.org/Papers/2008/10996/","",139,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,0,0,0,1,15,"A recently proposed search for a science of interaction will involve the creation of a multidimensional canvas composed of many features: complex perceptual and cognitive …","https://www.scitepress.org/PublishedPapers/2008/10996/10996.pdf","https://scholar.google.com/scholar?q=related:m2QJg0sxqnIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"5",0,"W Zhu, Y Tao, G Huang, Y Sun…","A Task-Oriented Navigation Approach to Enhance Architectural Description Comprehension",2010,"2010 IEEE 34th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5676336/","",131,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,0,0,0,5,13,"The way to document architecture is called Architecture Description (AD). It contains all the key design decisions, presents how the system is composed, specifies the interface of the …","https://ieeexplore.ieee.org/iel5/5676249/5676250/05676336.pdf","https://scholar.google.com/scholar?q=related:zrFLtBjlwaIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"6",3,"E Pietriga, G Filippi, L Véliz…","A Web-based Dashboard for the High-level Monitoring of ALMA",2014,"… for Astronomy III","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9152/91521B/A-web-based-dashboard-for-the-high-level-monitoring-of/10.1117/12.2055235.short","https://scholar.google.com/scholar?cites=18245327519297080394&as_sdt=2005&sciodt=0,5&hl=en",87,"2023-02-22 14:54:27","","10.1117/12.2055235.short",NA,NA,NA,NA,NA,NA,3,0.33,1,4,9,"The ALMA radio-telescope's operations depend on the availability of high-level, easy-to-understand status information about all of its components. The ALMA Dashboard aims at …","https://hal.inria.fr/docs/01/06/15/44/PDF/alma_dashboard_spie_2014.pdf","https://scholar.google.com/scholar?q=related:Soxc_rVsNP0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"7",1,"K Komatsu, R Egawa, H Takizawa…","A directive generation approach using user-defined rules",2016,"… on Computing and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7818665/","https://scholar.google.com/scholar?cites=11840147364845439084&as_sdt=2005&sciodt=0,5&hl=en",95,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,1,0.14,0,4,7,"The appearance of various high-performance computing (HPC) systems compels a user to write a code considering the characteristic of each HPC system. To describe the system …","https://ieeexplore.ieee.org/iel7/7818132/7818570/07818665.pdf","https://scholar.google.com/scholar?q=related:bMjj6UunUKQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"8",27,"H Lam, T Munzner","A guide to visual multi-level interface design from synthesis of empirical study evidence",2010,"Synthesis Lectures on …","Morgan &Claypool Publishers","","https://scholar.google.com/scholar?cites=9374456371194516460&as_sdt=2005&sciodt=0,5&hl=en",34,"2023-02-22 14:54:27","CITATION","",NA,NA,NA,NA,NA,NA,27,2.08,14,2,13,"","https://www.academia.edu/download/79749825/A_Guide_to_Visual_Multi-Level_Interface_20220128-14871-184x9tn.pdf","https://scholar.google.com/scholar?q=related:7FNyz2bCGIIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"9",4,"Y Shaobo, W Lingda","A key technology survey and summary of dynamic network visualization",2017,"2017 8th IEEE international conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8342958/","https://scholar.google.com/scholar?cites=17877149708434484567&as_sdt=2005&sciodt=0,5&hl=en",63,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,4,0.67,2,2,6,"Network visualization is a time-honored research direction, which can be traced back to the graph visualization. The data of dynamic network is constantly updated, which brings some …","https://ieeexplore.ieee.org/iel7/8336674/8342844/08342958.pdf","https://scholar.google.com/scholar?q=related:Vy23T_FkGPgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
"10",10,"任磊, 王威信, 周明骏, 滕东兴, 马翠霞, 戴国忠…","A model driven development method for interactive information visualization",2008,"Journal of Software","jos.org.cn","http://www.jos.org.cn/josen/article/abstract/20080808","https://scholar.google.com/scholar?cites=17447607250963994827&as_sdt=2005&sciodt=0,5&hl=en",65,"2023-02-22 14:54:27","","",NA,NA,NA,NA,NA,NA,10,0.67,1,7,15,"设计与实现面向领域应用的交互式信息可视化软件十分困难. 缺乏统一的开发方法与支撑工具箱, 为非专家用户提供对层次, 网络, 多维等数据类型的统一支持, 对各种可视化技术与交互技术的 …","http://www.jos.org.cn/josen/article/pdf/20080808","https://scholar.google.com/scholar?q=related:yxg9dlpaIvIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
